https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1653436800000,2022-05-25 00:00:00,AAVE/USDT,106.50000000,108.00000000,98.30000000,102.10000000,299646.22300000,30707087.69410000,70096
1653350400000,2022-05-24 00:00:00,AAVE/USDT,99.40000000,108.20000000,93.10000000,106.60000000,333612.19600000,33259676.51110000,85470
1653264000000,2022-05-23 00:00:00,AAVE/USDT,94.20000000,109.80000000,92.00000000,99.30000000,438387.15300000,44606408.87650000,120932
1653177600000,2022-05-22 00:00:00,AAVE/USDT,91.20000000,96.90000000,90.50000000,94.10000000,185323.01000000,17259548.79960000,44182
1653091200000,2022-05-21 00:00:00,AAVE/USDT,90.20000000,93.20000000,88.50000000,91.30000000,146556.21900000,13350920.86730000,43579
1653004800000,2022-05-20 00:00:00,AAVE/USDT,91.90000000,98.20000000,84.50000000,90.20000000,344544.24300000,31598793.41180000,105173
1652918400000,2022-05-19 00:00:00,AAVE/USDT,81.90000000,92.00000000,79.20000000,91.80000000,236645.47400000,20254336.06840000,67342
1652832000000,2022-05-18 00:00:00,AAVE/USDT,92.70000000,97.30000000,81.30000000,81.90000000,283348.36100000,25038004.07730000,79263
1652745600000,2022-05-17 00:00:00,AAVE/USDT,84.00000000,93.80000000,83.80000000,92.60000000,211199.18000000,18876076.27380000,64115
1652659200000,2022-05-16 00:00:00,AAVE/USDT,92.10000000,92.10000000,80.80000000,83.90000000,232371.86300000,19693561.96190000,63403
1652572800000,2022-05-15 00:00:00,AAVE/USDT,86.60000000,92.50000000,82.20000000,92.10000000,177630.53600000,15513812.31150000,58377
1652486400000,2022-05-14 00:00:00,AAVE/USDT,82.50000000,87.40000000,77.60000000,86.70000000,177665.69300000,14575265.80930000,55783
1652400000000,2022-05-13 00:00:00,AAVE/USDT,77.10000000,92.90000000,75.70000000,82.50000000,425935.38700000,36832457.19890000,129503
1652313600000,2022-05-12 00:00:00,AAVE/USDT,82.60000000,89.00000000,64.80000000,77.10000000,762180.12400000,57319655.71419900,205475
1652227200000,2022-05-11 00:00:00,AAVE/USDT,105.30000000,108.60000000,76.10000000,82.50000000,848405.06310000,79426878.49029900,229026
1652140800000,2022-05-10 00:00:00,AAVE/USDT,99.40000000,118.40000000,96.60000000,105.20000000,610184.92700000,66173211.94500000,195900
1652054400000,2022-05-09 00:00:00,AAVE/USDT,125.90000000,128.90000000,98.70000000,99.30000000,418075.01400000,46547699.22844900,150976
1651968000000,2022-05-08 00:00:00,AAVE/USDT,132.20000000,133.40000000,125.10000000,125.90000000,144086.20800000,18640624.93660000,60529
1651881600000,2022-05-07 00:00:00,AAVE/USDT,138.40000000,138.90000000,128.60000000,132.10000000,125400.39600000,16944391.69380000,53748
1651795200000,2022-05-06 00:00:00,AAVE/USDT,141.40000000,142.80000000,132.80000000,138.40000000,166577.14300000,22955305.42930000,72912
1651708800000,2022-05-05 00:00:00,AAVE/USDT,159.60000000,162.20000000,136.20000000,141.40000000,283592.25000000,41787776.88410000,114843
1651622400000,2022-05-04 00:00:00,AAVE/USDT,141.20000000,160.00000000,140.80000000,159.50000000,196238.61800000,29255097.92010000,80455
1651536000000,2022-05-03 00:00:00,AAVE/USDT,144.30000000,146.70000000,139.00000000,141.10000000,189742.65200000,27272206.95100000,52115
1651449600000,2022-05-02 00:00:00,AAVE/USDT,146.50000000,149.00000000,138.90000000,144.20000000,142896.98800000,20594953.89260000,62816
1651363200000,2022-05-01 00:00:00,AAVE/USDT,142.30000000,148.80000000,138.90000000,146.50000000,160643.04900000,23075035.91590000,66491
1651276800000,2022-04-30 00:00:00,AAVE/USDT,157.30000000,162.80000000,137.80000000,142.30000000,221613.02200000,33610151.99500000,91108
1651190400000,2022-04-29 00:00:00,AAVE/USDT,166.20000000,168.30000000,151.30000000,157.30000000,184509.48600000,29392732.54930000,76869
1651104000000,2022-04-28 00:00:00,AAVE/USDT,168.50000000,176.00000000,163.90000000,166.10000000,253730.26800000,43139171.39900000,108372
1651017600000,2022-04-27 00:00:00,AAVE/USDT,157.90000000,175.50000000,156.20000000,168.40000000,432886.81300000,73345476.95650000,173794
1650931200000,2022-04-26 00:00:00,AAVE/USDT,168.80000000,179.00000000,154.50000000,158.00000000,304338.54400000,50994547.92520000,140069
1650844800000,2022-04-25 00:00:00,AAVE/USDT,166.40000000,170.70000000,153.60000000,168.90000000,181848.01700000,29336808.71830000,88941
1650758400000,2022-04-24 00:00:00,AAVE/USDT,173.40000000,174.90000000,165.50000000,166.40000000,93006.70000000,15771304.75260000,41966
1650672000000,2022-04-23 00:00:00,AAVE/USDT,176.90000000,179.30000000,172.10000000,173.40000000,79491.23500000,13989026.66820000,41985
1650585600000,2022-04-22 00:00:00,AAVE/USDT,173.80000000,180.60000000,171.10000000,176.90000000,162970.24800000,28748546.43650000,79480
1650499200000,2022-04-21 00:00:00,AAVE/USDT,186.30000000,196.30000000,169.70000000,173.70000000,234031.11500000,43515841.24640000,121282
1650412800000,2022-04-20 00:00:00,AAVE/USDT,183.00000000,198.80000000,178.60000000,186.20000000,299082.10200000,56546621.34840000,169217
1650326400000,2022-04-19 00:00:00,AAVE/USDT,169.10000000,184.20000000,166.20000000,183.00000000,152809.88400000,26886008.74530000,88350
1650240000000,2022-04-18 00:00:00,AAVE/USDT,166.70000000,170.00000000,157.40000000,169.00000000,173846.47700000,28404139.31060000,82307
1650153600000,2022-04-17 00:00:00,AAVE/USDT,172.30000000,177.70000000,165.90000000,166.70000000,82209.93900000,14235143.86220000,44947
1650067200000,2022-04-16 00:00:00,AAVE/USDT,176.00000000,176.30000000,169.80000000,172.40000000,50978.97000000,8819506.53960000,27351
1649980800000,2022-04-15 00:00:00,AAVE/USDT,172.10000000,176.80000000,168.70000000,175.90000000,80485.60800000,13940397.77380000,46409
1649894400000,2022-04-14 00:00:00,AAVE/USDT,178.30000000,180.30000000,166.40000000,171.90000000,147866.39100000,25684159.95060000,76401
1649808000000,2022-04-13 00:00:00,AAVE/USDT,164.50000000,179.80000000,162.60000000,178.20000000,169380.47000000,29008029.48760000,86550
1649721600000,2022-04-12 00:00:00,AAVE/USDT,157.90000000,171.40000000,157.00000000,164.60000000,182435.11100000,30169484.62710000,90569
1649635200000,2022-04-11 00:00:00,AAVE/USDT,176.30000000,178.20000000,155.60000000,157.80000000,196721.82700000,32741964.84190000,92202
1649548800000,2022-04-10 00:00:00,AAVE/USDT,184.90000000,188.90000000,175.00000000,176.30000000,145809.45400000,26532610.60690000,65933
1649462400000,2022-04-09 00:00:00,AAVE/USDT,183.30000000,185.60000000,176.90000000,184.80000000,137126.06400000,24890548.21750000,64149
1649376000000,2022-04-08 00:00:00,AAVE/USDT,202.20000000,202.20000000,181.10000000,183.40000000,271148.73500000,52765596.29380000,142755
1649289600000,2022-04-07 00:00:00,AAVE/USDT,191.20000000,207.30000000,189.70000000,202.20000000,268122.77100000,53714326.24710000,158672
1649203200000,2022-04-06 00:00:00,AAVE/USDT,221.10000000,221.10000000,190.40000000,191.30000000,364585.32700000,74311175.50330000,217633
1649116800000,2022-04-05 00:00:00,AAVE/USDT,237.90000000,238.30000000,220.00000000,221.00000000,117604.07600000,26957880.94260000,99740
1649030400000,2022-04-04 00:00:00,AAVE/USDT,243.00000000,243.00000000,224.70000000,237.90000000,174361.48000000,41068688.81800000,141894
1648944000000,2022-04-03 00:00:00,AAVE/USDT,238.10000000,253.00000000,231.30000000,243.00000000,243458.01700000,59219671.54940000,202285
1648857600000,2022-04-02 00:00:00,AAVE/USDT,244.50000000,257.40000000,235.20000000,238.10000000,316276.23600000,77260220.05950000,261970
1648771200000,2022-04-01 00:00:00,AAVE/USDT,207.00000000,261.20000000,206.20000000,244.60000000,786879.07400000,185161189.98750000,671977
1648684800000,2022-03-31 00:00:00,AAVE/USDT,223.30000000,227.80000000,204.00000000,207.10000000,352550.10500000,76120515.09080000,248013
1648598400000,2022-03-30 00:00:00,AAVE/USDT,222.90000000,242.30000000,210.50000000,223.20000000,727337.35900000,165195080.94410000,545035
1648512000000,2022-03-29 00:00:00,AAVE/USDT,167.70000000,227.00000000,167.10000000,222.70000000,869814.08300000,176200852.84310000,662046
1648425600000,2022-03-28 00:00:00,AAVE/USDT,169.20000000,179.00000000,164.80000000,167.70000000,185956.82000000,32054099.84430000,158760
